Login,Sueldo,Fecha Ingreso
01,8837,2000-01-11
02,8837,2000-01-11
03,15000,2000-01-11
04,15000,2000-01-11
05,7812,2000-01-18
06,7812,2000-01-18
07,10200,2000-01-18
08,10200,2000-01-18
09,13800,2001-05-20
10,13800,2001-05-20
11,18880,2001-05-20
12,18880,2001-05-20
13,8000,2001-07-13
14,8000,2001-07-13
15,6000,2001-07-13
16,19470,2001-07-13
17,19470,2001-07-13
18,10200,2001-07-16
19,10200,2001-07-16
20,25000,2001-07-16
21,7812,2001-07-16
22,7812,2001-07-16
23,12210,2001-11-24
24,12210,2001-11-24
25,7500,2001-11-24
26,15020,2001-11-24
27,15020,2001-11-24
28,25000,2001-11-24
29,7812,2001-11-24
30,15020,2001-12-12
31,15020,2001-12-12
32,12210,2001-12-12
33,12210,2001-12-12
34,19470,2008-08-17
35,19470,2008-08-17
36,8000,2008-08-17
37,8000,2008-08-17
38,18880,2009-06-11
39,18880,2009-06-11
40,14000,2009-06-11
41,13800,2009-06-11
42,13800,2009-06-11
43,15000,2009-10-06
44,15000,2009-10-06
45,13000,2009-10-06
46,8837,2009-10-06
